1,2016-01-22-46,1464.5,254.0,102.0,64.5,2.0,2.0,51.0
2,2016-01-22-46,653.0,68.5,18.5,13.0,2.0,2.0,51.0
3,2016-01-22-46,194.5,31.5,6.5,3.0,2.0,2.0,51.0
4,2016-01-22-46,669.0,136.5,33.5,31.5,2.0,2.0,51.0
5,2016-01-22-46,89.5,13.0,2.5,2.0,2.0,2.0,51.0
6,2016-01-22-46,325.0,53.5,28.0,25.5,2.0,2.0,51.0
7,2016-01-22-46,1760.0,229.5,69.5,49.0,2.0,2.0,51.0
8,2016-01-22-46,2614.5,319.0,117.0,86.0,2.0,2.0,51.0
9,2016-01-22-46,482.0,63.0,14.0,27.0,2.0,2.0,51.0
10,2016-01-22-46,149.5,14.0,4.0,0.0,2.0,2.0,51.0
11,2016-01-22-46,771.0,125.0,45.5,27.5,2.0,2.0,51.0
12,2016-01-22-46,1657.0,220.0,39.5,41.5,2.0,2.0,51.0
13,2016-01-22-46,452.5,52.0,12.0,21.5,2.0,2.0,51.0
14,2016-01-22-46,1331.5,195.5,58.5,48.5,2.0,2.0,51.0
15,2016-01-22-46,9.0,0.0,0.0,0.0,2.0,2.0,51.0
16,2016-01-22-46,225.0,28.0,14.0,15.5,2.0,2.0,51.0
17,2016-01-22-46,277.0,30.5,11.0,3.5,2.0,2.0,51.0
18,2016-01-22-46,377.5,62.5,20.0,19.0,2.0,2.0,51.0
19,2016-01-22-46,961.5,116.5,36.0,35.0,2.0,2.0,51.0
20,2016-01-22-46,889.0,166.5,43.0,34.5,2.0,2.0,51.0
21,2016-01-22-46,804.5,112.0,34.0,29.0,2.0,2.0,51.0
22,2016-01-22-46,593.5,96.5,31.5,12.0,2.0,2.0,51.0
23,2016-01-22-46,2903.0,568.5,174.0,147.5,2.0,2.0,51.0
24,2016-01-22-46,1108.5,229.5,85.0,60.5,2.0,2.0,51.0
25,2016-01-22-46,656.0,104.5,29.0,24.5,2.0,2.0,51.0
26,2016-01-22-46,329.5,66.5,14.5,13.5,2.0,2.0,51.0
27,2016-01-22-46,1184.5,182.0,36.5,38.5,2.0,2.0,51.0
28,2016-01-22-46,1274.0,296.5,81.0,79.5,2.0,2.0,51.0
29,2016-01-22-46,644.5,187.5,50.0,44.5,2.0,2.0,51.0
30,2016-01-22-46,154.5,18.5,15.0,8.0,2.0,2.0,51.0
31,2016-01-22-46,484.0,60.0,25.0,13.0,2.0,2.0,51.0
32,2016-01-22-46,114.0,9.5,4.0,0.5,2.0,2.0,51.0
33,2016-01-22-46,205.5,58.5,10.0,7.0,2.0,2.0,51.0
34,2016-01-22-46,197.5,30.0,9.0,5.0,2.0,2.0,51.0
35,2016-01-22-46,242.0,29.0,4.5,5.5,2.0,2.0,51.0
36,2016-01-22-46,292.0,37.5,10.5,10.0,2.0,2.0,51.0
37,2016-01-22-46,1593.0,274.5,85.0,72.5,2.0,2.0,51.0
38,2016-01-22-46,359.0,114.5,39.0,26.5,2.0,2.0,51.0
39,2016-01-22-46,112.5,10.0,3.5,3.0,2.0,2.0,51.0
40,2016-01-22-46,225.5,31.0,8.0,4.0,2.0,2.0,51.0
41,2016-01-22-46,221.5,31.5,5.0,5.5,2.0,2.0,51.0
42,2016-01-22-46,1514.5,295.0,77.0,63.5,2.0,2.0,51.0
43,2016-01-22-46,173.0,14.0,0.0,1.0,2.0,2.0,51.0
44,2016-01-22-46,46.5,5.5,4.5,4.5,2.0,2.0,51.0
45,2016-01-22-46,146.0,8.5,2.5,0.0,2.0,2.0,51.0
46,2016-01-22-46,1236.0,258.5,92.0,66.5,2.0,2.0,51.0
